X1,X2,X3,Y
5551.82208,4983.17184,4888.3968,5072.95872
4983.17184,4888.3968,5072.95872,5196.2598
4888.3968,5072.95872,5196.2598,5641.2972
5072.95872,5196.2598,5641.2972,7153.17732
5196.2598,5641.2972,7153.17732,7849.80504
5641.2972,7153.17732,7849.80504,6329.97504
7153.17732,7849.80504,6329.97504,6292.8756
7849.80504,6329.97504,6292.8756,5349.8016
6329.97504,6292.8756,5349.8016,5225.40936
6292.8756,5349.8016,5225.40936,5000.47452
5349.8016,5225.40936,5000.47452,4775.53968
5225.40936,5000.47452,4775.53968,6177.05676
5000.47452,4775.53968,6177.05676,6177.05676
4775.53968,6177.05676,6177.05676,6155.7012
6177.05676,6177.05676,6155.7012,6212.12976
6177.05676,6155.7012,6212.12976,7424.25264
6155.7012,6212.12976,7424.25264,7407.4176
6212.12976,7424.25264,7407.4176,7068.22272
7424.25264,7407.4176,7068.22272,6515.784
7407.4176,7068.22272,6515.784,6350.08356
7068.22272,6515.784,6350.08356,5502.25224
6515.784,6350.08356,5502.25224,4931.2638
6350.08356,5502.25224,4931.2638,4775.53968
5502.25224,4931.2638,4775.53968,4713.8112
4931.2638,4775.53968,4713.8112,4689.02628
4775.53968,4713.8112,4689.02628,4844.7504
4713.8112,4689.02628,4844.7504,5571.46296
4689.02628,4844.7504,5571.46296,6150.71304
4844.7504,5571.46296,6150.71304,6296.30496
5571.46296,6150.71304,6296.30496,6515.16048
6150.71304,6296.30496,6515.16048,6269.64948
6296.30496,6515.16048,6269.64948,5607.0036
6515.16048,6269.64948,5607.0036,5932.7928
6269.64948,5607.0036,5932.7928,5675.5908
5607.0036,5932.7928,5675.5908,5675.27904
5932.7928,5675.5908,5675.27904,5435.5356
5675.5908,5675.27904,5435.5356,5572.71
5675.27904,5435.5356,5572.71,6023.2032
5435.5356,5572.71,6023.2032,6110.496
5572.71,6023.2032,6110.496,7951.75056
6023.2032,6110.496,7951.75056,8013.0114
6110.496,7951.75056,8013.0114,7591.82364
7951.75056,8013.0114,7591.82364,7088.17536
8013.0114,7591.82364,7088.17536,6477.12576
7591.82364,7088.17536,6477.12576,5848.6176
7088.17536,6477.12576,5848.6176,5460.4764
6477.12576,5848.6176,5460.4764,5097.89952
5848.6176,5460.4764,5097.89952,5062.9824
5460.4764,5097.89952,5062.9824,5080.44096
5097.89952,5062.9824,5080.44096,5324.8608
5062.9824,5080.44096,5324.8608,5970.82752
5080.44096,5324.8608,5970.82752,6477.12576
5324.8608,5970.82752,6477.12576,6635.8116
5970.82752,6477.12576,6635.8116,6635.8116
6477.12576,6635.8116,6635.8116,6371.595
6635.8116,6635.8116,6371.595,6303.63132
6635.8116,6371.595,6303.63132,6447.1968
6371.595,6303.63132,6447.1968,6104.2608
6303.63132,6447.1968,6104.2608,5778.4716
6447.1968,6104.2608,5778.4716,5865.60852
6104.2608,5778.4716,5865.60852,5847.0588
5778.4716,5865.60852,5847.0588,6104.2608
5865.60852,5847.0588,6104.2608,6704.3988
5847.0588,6104.2608,6704.3988,7510.2984
6104.2608,6704.3988,7510.2984,7995.0852
6704.3988,7510.2984,7995.0852,7641.2376
7510.2984,7995.0852,7641.2376,5918.45184
7995.0852,7641.2376,5918.45184,6394.04172
7641.2376,5918.45184,6394.04172,5813.70048
5918.45184,6394.04172,5813.70048,5619.00636
6394.04172,5813.70048,5619.00636,5384.40696
5813.70048,5619.00636,5384.40696,5052.38256
5619.00636,5384.40696,5052.38256,5277.3174
5384.40696,5052.38256,5277.3174,5709.8844
5052.38256,5277.3174,5709.8844,6481.4904
5277.3174,5709.8844,6481.4904,7272.73728
5709.8844,6481.4904,7272.73728,7390.2708
6481.4904,7272.73728,7390.2708,7192.92672
7272.73728,7390.2708,7192.92672,6412.9032
7390.2708,7192.92672,6412.9032,6464.3436
7192.92672,6412.9032,6464.3436,6395.7564
6412.9032,6464.3436,6395.7564,4903.9848
6464.3436,6395.7564,4903.9848,6292.8756
6395.7564,4903.9848,6292.8756,6052.8204
4903.9848,6292.8756,6052.8204,6052.8204
6292.8756,6052.8204,6052.8204,6121.4076
6052.8204,6052.8204,6121.4076,6052.8204
6052.8204,6121.4076,6052.8204,8110.4364
6121.4076,6052.8204,8110.4364,8196.1704
6052.8204,8110.4364,8196.1704,8045.7462
8110.4364,8196.1704,8045.7462,7786.206
8196.1704,8045.7462,7786.206,6746.33052
8045.7462,7786.206,6746.33052,5935.9104
7786.206,6746.33052,5935.9104,5447.07072
6746.33052,5935.9104,5447.07072,4713.8112
5935.9104,5447.07072,4713.8112,5002.50096
5447.07072,4713.8112,5002.50096,5037.72984
4713.8112,5002.50096,5037.72984,5865.60852
5002.50096,5037.72984,5865.60852,5984.2332
5037.72984,5865.60852,5984.2332,7474.75776
5865.60852,5984.2332,7474.75776,7205.39712
5984.2332,7474.75776,7205.39712,6548.83056
7474.75776,7205.39712,6548.83056,6001.38
7205.39712,6548.83056,6001.38,6310.0224
6548.83056,6001.38,6310.0224,5864.2056
6001.38,6310.0224,5864.2056,6031.7766
6310.0224,5864.2056,6031.7766,4764.31632
5864.2056,6031.7766,4764.31632,4730.64624
6031.7766,4764.31632,4730.64624,5774.41872
4764.31632,4730.64624,5774.41872,6228.9648
4730.64624,5774.41872,6228.9648,6464.65536
5774.41872,6228.9648,6464.65536,7518.0924
6228.9648,6464.65536,7518.0924,8013.7908
6464.65536,7518.0924,8013.7908,6366.9186
7518.0924,8013.7908,6366.9186,6824.11464
8013.7908,6366.9186,6824.11464,5915.33424
6366.9186,6824.11464,5915.33424,5900.21388
6824.11464,5915.33424,5900.21388,5761.3248
5915.33424,5900.21388,5761.3248,5726.40768
5900.21388,5761.3248,5726.40768,6024.13848
5761.3248,5726.40768,6024.13848,6599.33568
5726.40768,6024.13848,6599.33568,5534.36352
6024.13848,6599.33568,5534.36352,6267.62304
6599.33568,5534.36352,6267.62304,7482.520584
5534.36352,6267.62304,7482.520584,5895.319248
6267.62304,7482.520584,5895.319248,6429.613536
7482.520584,5895.319248,6429.613536,6094.28448
5895.319248,6429.613536,6094.28448,5709.8844
6429.613536,6094.28448,5709.8844,5912.84016
6094.28448,5709.8844,5912.84016,6001.38
5709.8844,5912.84016,6001.38,5799.484224
5912.84016,6001.38,5799.484224,5851.11168
6001.38,5799.484224,5851.11168,6040.412352
5799.484224,5851.11168,6040.412352,7479.20034
5851.11168,6040.412352,7479.20034,7373.124
6040.412352,7479.20034,7373.124,7630.326
7479.20034,7373.124,7630.326,7476.0048
7373.124,7630.326,7476.0048,6660.44064
7630.326,7476.0048,6660.44064,6082.74936
7476.0048,6660.44064,6082.74936,6292.56384
6660.44064,6082.74936,6292.56384,6847.8084
6082.74936,6292.56384,6847.8084,5636.6208
6292.56384,6847.8084,5636.6208,5307.40224
6847.8084,5636.6208,5307.40224,5242.71204
5636.6208,5307.40224,5242.71204,5260.01472
5307.40224,5242.71204,5260.01472,5829.912
5242.71204,5260.01472,5829.912,6930.4248
5260.01472,5829.912,6930.4248,7897.03668
5829.912,6930.4248,7897.03668,7584.18552
6930.4248,7897.03668,7584.18552,4847.24448
7897.03668,7584.18552,4847.24448,5933.41632
7584.18552,4847.24448,5933.41632,6014.47392
4847.24448,5933.41632,6014.47392,5898.4992
5933.41632,6014.47392,5898.4992,6138.5544
6014.47392,5898.4992,6138.5544,6001.38
5898.4992,6138.5544,6001.38,5744.48976
6138.5544,6001.38,5744.48976,5709.8844
6001.38,5744.48976,5709.8844,6073.24068
5744.48976,5709.8844,6073.24068,6807.2796
5709.8844,6073.24068,6807.2796,7818.9408
6073.24068,6807.2796,7818.9408,7870.3812
6807.2796,7818.9408,7870.3812,7716.99528
7818.9408,7870.3812,7716.99528,7094.0988
7870.3812,7716.99528,7094.0988,6384.68892
7716.99528,7094.0988,6384.68892,5640.67368
7094.0988,6384.68892,5640.67368,5346.52812
6384.68892,5640.67368,5346.52812,5138.89596
5640.67368,5346.52812,5138.89596,4940.77248
5346.52812,5138.89596,4940.77248,4766.18688
5138.89596,4940.77248,4766.18688,5020.1154
4940.77248,4766.18688,5020.1154,5588.76564
4766.18688,5020.1154,5588.76564,6436.59696
5020.1154,5588.76564,6436.59696,6978.7476
5588.76564,6436.59696,6978.7476,6643.44972
6436.59696,6978.7476,6643.44972,3907.9116
6978.7476,6643.44972,3907.9116,7154.892
6643.44972,3907.9116,7154.892,6498.32544
3907.9116,7154.892,6498.32544,6414.15024
7154.892,6498.32544,6414.15024,7272.11376
6498.32544,6414.15024,7272.11376,8264.7576
6414.15024,7272.11376,8264.7576,8058.996
7272.11376,8264.7576,8058.996,7751.60064
8264.7576,8058.996,7751.60064,7267.1256
8058.996,7751.60064,7267.1256,6523.11036
7751.60064,7267.1256,6523.11036,5761.79244
7267.1256,6523.11036,5761.79244,5363.8308
6523.11036,5761.79244,5363.8308,5104.2906
5761.79244,5363.8308,5104.2906,4993.14816
5363.8308,5104.2906,4993.14816,5202.65088
5104.2906,4993.14816,5202.65088,5761.3248
4993.14816,5202.65088,5761.3248,5988.28608
5202.65088,5761.3248,5988.28608,6197.7888
5761.3248,5988.28608,6197.7888,6424.75008
5988.28608,6197.7888,6424.75008,6644.22912
6197.7888,6424.75008,6644.22912,6626.4588
6424.75008,6644.22912,6626.4588,6847.34076
6644.22912,6626.4588,6847.34076,6354.60408
6626.4588,6847.34076,6354.60408,6354.60408
6847.34076,6354.60408,6354.60408,6150.71304
6354.60408,6354.60408,6150.71304,5827.88556
6354.60408,6150.71304,5827.88556,5929.83108
6150.71304,5827.88556,5929.83108,6127.95456
5827.88556,5929.83108,6127.95456,6843.75552
5929.83108,6127.95456,6843.75552,8063.04888
6127.95456,6843.75552,8063.04888,8063.04888
6843.75552,8063.04888,8063.04888,8063.04888
8063.04888,8063.04888,8063.04888,6955.67736
8063.04888,8063.04888,6955.67736,6687.252
8063.04888,6955.67736,6687.252,5709.8844
6955.67736,6687.252,5709.8844,5554.16028
6687.252,5709.8844,5554.16028,5450.3442
5709.8844,5554.16028,5450.3442,5294.62008
5554.16028,5450.3442,5294.62008,5208.10668
5450.3442,5294.62008,5208.10668,5260.01472
5294.62008,5208.10668,5260.01472,5420.88288
5208.10668,5260.01472,5420.88288,6094.28448
5260.01472,5420.88288,6094.28448,6683.51088
5420.88288,6094.28448,6683.51088,6717.18096
6094.28448,6683.51088,6717.18096,6750.85104
6683.51088,6717.18096,6750.85104,6835.02624
6717.18096,6750.85104,6835.02624,6919.20144
6750.85104,6835.02624,6919.20144,6700.34592
6835.02624,6919.20144,6700.34592,6447.82032
