Country,EdLevel,YearsCodePro,Salary,DevType,LanguageHaveWorkedWith,MiscTechHaveWorkedWith,WebframeHaveWorkedWith
4,2,6.0,77290.0,0,0,3,4
13,0,2.0,17748.0,5,0,0,3
13,0,2.0,11832.0,6,0,0,5
1,0,15.0,60480.0,0,0,0,3
14,2,12.0,64630.0,5,0,2,3
6,2,16.0,54049.0,0,0,0,5
10,3,3.0,22644.0,5,0,2,3
2,1,10.0,71850.0,0,0,0,2
9,0,8.0,45564.0,5,0,1,5
2,3,8.0,151263.0,1,0,2,2
2,1,17.0,95295.0,0,0,0,2
14,0,14.0,61398.0,5,0,0,5
8,1,10.0,108098.0,3,0,0,5
6,2,2.0,14268.0,0,0,2,5
15,0,6.0,140000.0,5,0,0,5
3,2,2.0,45401.0,4,0,4,3
15,0,1.0,54000.0,5,0,0,3
8,1,5.0,36324.0,5,0,4,5
14,0,3.0,38778.0,3,0,0,1
4,2,11.0,97288.0,0,0,2,3
14,0,25.0,70047.0,5,0,0,5
15,0,4.0,98500.0,5,0,2,5
15,0,24.0,115000.0,2,0,0,2
9,0,3.0,16704.0,0,0,2,1
14,2,13.0,84019.0,5,0,4,5
15,2,9.0,70000.0,0,0,2,3
15,1,5.0,90000.0,5,0,0,5
8,0,6.0,50592.0,0,0,0,2
0,2,2.0,96874.0,1,0,2,1
10,3,9.0,75492.0,0,0,2,3
3,2,5.0,44320.0,0,0,4,3
4,1,5.0,51888.0,5,0,4,5
15,0,2.0,60000.0,8,0,2,3
5,2,11.0,30716.0,7,0,4,3
3,2,7.0,77831.0,0,0,3,5
4,2,2.0,54049.0,8,5,2,3
14,1,2.0,19389.0,5,0,0,5
1,1,12.0,8796.0,4,0,3,0
11,2,10.0,12972.0,8,0,2,5
14,3,4.0,51704.0,8,5,2,2
4,0,15.0,70264.0,0,0,0,0
12,0,26.0,81000.0,0,0,4,3
4,2,5.0,56211.0,5,0,0,3
15,0,15.0,120000.0,0,0,0,5
8,1,4.0,35676.0,0,0,0,0
15,1,39.0,70000.0,2,5,2,2
15,0,4.0,74000.0,0,0,2,5
5,0,5.0,217800.0,1,0,2,0
8,3,14.0,118908.0,8,2,2,3
15,1,1.0,40000.0,0,0,0,3
15,2,20.0,108000.0,0,0,0,3
4,1,7.0,58373.0,0,0,4,5
14,2,24.0,55582.0,0,0,0,2
14,1,21.0,60752.0,0,0,0,5
15,0,3.0,67000.0,0,0,0,3
14,3,23.0,155111.0,9,5,2,2
3,2,3.0,48644.0,5,0,4,3
15,1,6.0,170000.0,5,0,0,5
13,0,3.0,19728.0,0,0,2,3
8,0,4.0,40212.0,0,0,2,5
2,1,7.0,90758.0,5,0,1,5
8,2,30.0,62268.0,5,0,0,0
2,1,5.0,31750.0,5,0,2,5
15,2,2.0,100000.0,5,0,0,5
15,0,3.0,92000.0,8,2,2,2
15,2,12.0,135000.0,8,0,2,3
15,0,4.0,150000.0,0,2,2,3
15,0,19.0,65000.0,0,0,0,5
5,1,10.0,16416.0,0,0,0,5
13,2,2.0,18080.0,5,0,2,3
1,0,12.0,96204.0,0,0,4,5
11,1,2.0,20539.0,0,0,2,5
3,2,10.0,48644.0,0,2,2,3
15,1,2.0,37440.0,5,0,0,3
2,0,9.0,83194.0,0,0,0,0
4,1,13.0,69183.0,5,0,0,5
5,0,8.0,29320.0,0,0,2,3
15,2,5.0,150000.0,8,5,2,2
6,2,17.0,59454.0,5,0,4,5
5,1,10.0,123984.0,0,0,0,5
8,2,4.0,46482.0,5,2,2,5
5,0,0.5,8376.0,5,0,2,3
4,0,7.0,86478.0,0,0,4,5
15,0,3.0,73500.0,0,2,1,5
9,2,6.0,60744.0,0,0,4,5
5,0,2.0,25128.0,0,0,2,5
4,1,4.0,36324.0,0,0,0,0
14,1,2.0,28437.0,5,0,0,3
9,1,3.0,41004.0,0,0,0,5
4,0,5.0,101612.0,8,0,0,2
15,0,9.0,135000.0,0,0,3,3
8,0,6.0,50806.0,0,0,0,3
15,0,8.0,200000.0,5,0,0,3
5,2,3.0,40489.0,0,0,4,5
14,1,0.5,19389.0,0,0,2,5
11,0,30.0,45396.0,0,0,2,5
15,0,20.0,130000.0,0,0,0,5
1,0,4.0,22536.0,5,0,4,5
4,1,14.0,56208.0,0,0,2,5
15,0,33.0,175000.0,0,0,4,4
2,1,25.0,68068.0,0,0,0,2
14,2,4.0,49119.0,8,0,0,2
13,0,2.0,9864.0,0,0,2,5
13,1,2.0,11832.0,8,0,0,5
3,2,5.0,39131.0,5,0,0,5
15,1,20.0,110000.0,0,0,0,5
15,0,13.0,155000.0,5,0,0,5
4,1,14.0,75885.0,0,0,0,2
1,3,4.0,10992.0,7,2,4,0
12,0,3.0,40500.0,5,0,3,3
4,2,10.0,77832.0,5,0,2,5
15,1,25.0,156000.0,0,0,0,5
15,0,9.0,230000.0,8,0,4,5
4,2,4.0,45401.0,0,0,0,2
15,0,15.0,120000.0,5,0,0,5
15,0,7.0,125000.0,5,0,2,4
5,0,10.0,29320.0,5,0,3,5
4,3,12.0,54049.0,0,0,0,5
6,1,6.0,32429.0,0,0,0,5
6,2,3.0,32429.0,1,0,2,1
15,0,25.0,160000.0,0,0,0,5
6,1,6.0,27025.0,0,0,2,5
2,0,1.0,49160.0,5,0,2,3
15,0,3.0,64000.0,0,0,2,5
4,2,4.0,54049.0,8,0,2,5
3,2,4.0,46482.0,8,0,2,4
14,2,2.0,74970.0,1,0,2,3
2,0,3.0,52942.0,3,0,3,5
15,0,3.0,85000.0,0,0,0,3
5,0,1.0,20943.0,0,0,0,5
12,2,6.0,53388.0,0,0,3,3
4,0,2.0,54049.0,5,0,2,5
8,3,24.0,57720.0,5,0,0,2
4,1,7.0,54480.0,0,0,0,5
